Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:41.76
